name,grass_pts_served,grass_service_pts_won,grass_pts_received,grass_receiving_pts_won,grass_aces,hard_pts_served,hard_service_pts_won,hard_pts_received,hard_receiving_pts_won,hard_aces,clay_pts_served,clay_service_pts_won,clay_pts_received,clay_receiving_pts_won,clay_aces
Gael Monfils,480,304,448,149,52,1870,1220,1986,778,228,619,359,624,248,40
Matteo Berrettini,1069,776,1115,409,185,1970,1351,1950,680,275,1306,911,1410,535,147
Denis Shapovalov,1018,695,1010,370,133,2112,1407,2191,787,209,965,613,976,382,86
Rafael Nadal,0,0,0,0,0,639,453,672,266,56,1696,1089,1694,758,60
Jannik Sinner,226,129,218,81,10,4046,2661,4115,1634,260,1242,760,1264,517,55
Stefanos Tsitsipas,78,51,103,33,15,3330,2296,3505,1330,328,2132,1463,2117,855,136
Felix Auger Aliassime,1052,744,1135,411,155,2749,1845,2957,1096,347,775,481,760,293,49
Daniil Medvedev,760,523,884,359,92,3807,2637,4098,1715,515,681,447,742,301,54
Taylor Fritz,455,302,423,132,53,3681,2426,3601,1287,427,682,422,720,287,50
Carlos Alcaraz,251,141,250,100,8,2298,1484,2383,939,111,1254,760,1286,559,32
Andrey Rublev,747,514,800,306,68,3694,2511,3965,1568,429,1222,783,1252,498,65
Cameron Norrie,692,471,706,267,46,3616,2293,3740,1526,241,1369,873,1325,515,76
Miomir Kecmanovic,384,246,392,138,26,1865,1152,1876,694,110,1064,624,1092,416,27
Grigor Dimitrov,227,158,245,79,12,2303,1515,2373,944,177,579,361,591,222,20
Casper Ruud,328,221,320,106,20,2587,1740,2603,975,218,2216,1498,2381,1006,126
Hubert Hurkacz,734,507,757,262,69,3370,2274,3512,1302,463,435,275,420,129,33
Francisco Cerundolo,0,0,0,0,0,0,0,0,0,0,970,563,1021,417,22
Alexander Zverev,580,420,653,240,89,3248,2264,3620,1388,499,1420,935,1548,665,113
Alejandro Davidovich Fokina,283,167,248,98,11,1853,1118,1875,725,71,1718,1048,1758,712,29
Diego Schwartzman,325,204,335,145,2,2666,1649,2760,1165,55,1402,849,1463,650,29
Novak Djokovic,639,471,727,300,68,2426,1697,2590,1060,285,1750,1151,1931,898,94
Cristian Garin,499,318,507,187,43,898,549,900,329,41,1992,1230,1979,820,101
Holger Rune,0,0,0,0,0,540,340,574,207,37,861,514,837,323,30
Marin Cilic,918,634,1020,402,151,2604,1672,2609,963,355,822,519,836,305,84
David Goffin,73,45,51,23,4,1440,872,1398,548,99,681,408,723,288,40
Nick Kyrgios,285,201,307,107,56,911,627,965,290,170,0,0,0,0,0
Pablo Carreno Busta,305,209,302,96,10,1921,1245,1876,669,108,1568,1038,1643,664,71
Daniel Evans,475,333,491,174,22,2497,1590,2512,928,139,1099,651,1029,412,31
Tommy Paul,0,0,0,0,0,2607,1632,2683,1044,144,1066,670,1072,386,49
Borna Coric,0,0,0,0,0,637,444,682,238,82,0,0,0,0,0
John Isner,148,108,158,47,36,2099,1479,2048,578,492,659,483,673,189,171
Karen Khachanov,875,571,852,299,91,2903,1905,2939,1093,251,865,532,845,323,51
Frances Tiafoe,549,375,567,189,44,3516,2259,3408,1253,296,761,474,764,284,53
Lorenzo Musetti,96,57,82,18,3,1870,1146,1807,640,89,1500,911,1532,604,29
Adrian Mannarino,516,348,512,150,42,1900,1150,1887,681,86,581,331,498,151,24
Alex De Minaur,956,630,946,352,29,2256,1373,2238,875,96,673,406,693,275,27
Maxime Cressy,185,128,202,77,30,877,595,924,307,169,0,0,0,0,0
Jenson Brooksby,347,237,371,154,16,1274,805,1304,526,37,84,49,77,20,1
Reilly Opelka,194,132,229,72,46,2632,1855,2513,698,547,732,489,662,208,147
Lloyd Harris,568,379,607,206,95,2932,2007,3048,1087,450,454,274,431,137,36
Thanasi Kokkinakis,0,0,0,0,0,604,410,606,215,90,0,0,0,0,0
Sebastian Korda,820,525,869,342,61,2180,1409,2195,845,170,728,457,680,268,35
Albert Ramos,256,154,251,77,10,1240,775,1367,485,58,2520,1565,2511,1039,73
Laslo Djere,317,200,309,107,29,1399,852,1407,495,110,2363,1479,2358,952,108
Dusan Lajovic,329,200,321,112,14,2412,1503,2390,861,114,1081,634,1083,426,22
Stan Wawrinka,0,0,0,0,0,634,420,589,202,59,0,0,0,0,0
Marcos Giron,474,304,407,116,29,2326,1489,2318,822,161,776,453,758,297,36
Filip Krajinovic,115,71,96,28,16,1631,1028,1575,560,111,1496,939,1463,565,69
Bernabe Zapata Miralles,252,157,249,73,7,517,314,498,164,21,565,311,563,243,16
Tim Van Rijthoven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Nakashima,125,81,116,36,7,2170,1465,2223,809,209,0,0,0,0,0
Jason Kubler,0,0,0,0,0,159,97,158,55,7,0,0,0,0,0
Botic Van De Zandschulp,228,154,235,82,21,1823,1180,1917,695,145,367,238,358,147,12
Jack Draper,317,205,314,97,27,43,24,53,22,3,0,0,0,0,0
Roberto Bautista Agut,652,410,696,269,31,2453,1578,2626,1032,121,1138,706,1141,456,26
Ben Shelton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corentin Moutet,303,181,331,107,9,918,582,917,322,33,857,474,830,348,10
Ilya Ivashka,807,530,794,292,90,1765,1184,1940,767,178,776,502,765,298,48
Gilles Simon,369,231,377,130,19,733,434,721,267,22,502,258,479,175,7
