player_id,grass_pts_served,grass_service_pts_won,grass_pts_received,grass_receiving_pts_won,grass_aces,hard_pts_served,hard_service_pts_won,hard_pts_received,hard_receiving_pts_won,hard_aces,clay_pts_served,clay_service_pts_won,clay_pts_received,clay_receiving_pts_won,clay_aces,carpet_pts_served,carpet_service_pts_won,carpet_pts_received,carpet_receiving_pts_won,carpet_aces
113190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200002,321,211,306,129,32,69,32,71,34,2,161,83,122,47,3,0,0,0,0,0
200003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200033,205,139,277,143,31,2783,1821,2739,1366,289,1338,897,1450,782,139,0,0,0,0,0
200034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200043,59,30,55,16,1,425,258,417,177,12,458,260,435,195,11,119,66,86,31,1
200044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
