name,grass_pts_served,grass_service_pts_won,grass_pts_received,grass_receiving_pts_won,grass_aces,hard_pts_served,hard_service_pts_won,hard_pts_received,hard_receiving_pts_won,hard_aces,clay_pts_served,clay_service_pts_won,clay_pts_received,clay_receiving_pts_won,clay_aces
Rafael Nadal,1369,945,1454,534,104,7327,4932,7817,3245,329,6077,4116,6498,3004,215
Grigor Dimitrov,1817,1205,1840,653,179,6342,4134,6322,2231,649,2662,1706,2683,1051,184
Andy Murray,3248,2282,3511,1403,386,8945,5830,9218,3970,801,2836,1744,2919,1286,181
Roger Federer,2468,1786,2673,1031,284,10009,7027,10708,4260,942,3862,2669,4092,1613,342
Tomas Berdych,1671,1182,1812,665,206,11325,7643,11610,4562,1220,3871,2508,3780,1496,308
David Ferrer,2049,1432,2273,873,111,10169,6578,10589,4427,490,6141,4010,6324,2827,208
Stan Wawrinka,926,612,942,327,100,7688,5006,7938,3038,686,6278,4063,6203,2444,429
Novak Djokovic,2215,1579,2473,1017,242,11442,7840,12167,5392,871,4133,2776,4441,1923,208
Alexandr Dolgopolov,1236,803,1189,402,148,8406,5371,8654,3258,881,3455,2179,3487,1327,312
Milos Raonic,1405,1037,1484,459,284,8911,6394,9373,3142,1854,2915,1970,3001,1070,384
Kevin Anderson,1360,944,1456,487,234,9675,6603,9946,3515,1423,3299,2176,3379,1235,351
John Isner,1789,1355,1945,631,386,10343,7318,10348,3226,1972,3257,2243,3168,968,437
Ernests Gulbis,977,673,919,258,172,5865,3804,5941,2178,685,2579,1624,2578,977,233
Julien Benneteau,1928,1268,1941,662,180,7217,4565,7346,2823,599,2358,1430,2359,880,114
Kei Nishikori,1654,1059,1755,686,64,7674,4774,7987,3206,289,2461,1539,2564,1093,57
Jo-Wilfried Tsonga,2913,2043,2802,921,392,10381,7034,10268,3740,1295,3159,2059,3224,1259,220
Guillermo Garcia Lopez,1014,650,1061,365,62,5215,3108,5210,1942,261,4502,2702,4431,1746,161
Roberto Bautista Agut,486,321,484,177,18,2920,1739,2918,1129,90,1281,766,1257,526,30
Santiago Giraldo,1106,721,1059,339,64,4669,2913,4496,1606,217,4517,2753,4353,1666,182
Tommy Haas,1431,1000,1495,501,143,6274,4087,6532,2469,534,2760,1780,2651,1028,177
Jeremy Chardy,1081,709,1088,363,128,4573,2924,4487,1525,499,3696,2297,3685,1420,261
Gael Monfils,742,504,771,294,95,6698,4299,6913,2677,713,3598,2231,3736,1498,228
Marin Cilic,1745,1169,1785,667,175,6421,4230,6723,2587,642,3525,2260,3623,1451,273
Nick Kyrgios,0,0,0,0,0,95,53,83,22,8,220,142,191,45,13
Feliciano Lopez,2171,1557,2234,735,411,7296,4765,7171,2398,997,3838,2532,3781,1278,415
Tommy Robredo,342,237,319,97,23,3296,2088,3365,1250,223,4044,2571,4171,1691,185
Fabio Fognini,1006,601,913,328,43,5069,2909,4631,1713,197,6787,4056,6915,2957,197
Gilles Simon,1368,861,1343,491,101,8676,5372,8777,3499,487,5218,3149,5226,2225,222
Mikhail Youzhny,2150,1439,2176,794,122,7276,4612,7126,2750,401,4124,2513,4168,1647,174
Stephane Robert,209,128,228,92,9,654,385,675,219,21,269,143,267,93,15
Florian Mayer,1406,947,1463,505,104,5677,3603,5773,2090,327,4770,2882,4731,1934,232
Fernando Verdasco,1679,1135,1644,584,186,5896,3802,6154,2304,416,5249,3332,5567,2176,261
Benjamin Becker,831,537,889,318,91,3938,2471,3929,1332,355,329,191,285,75,27
Richard Gasquet,1459,1012,1533,585,141,9116,6009,9509,3735,741,3556,2301,3502,1380,189
Andreas Seppi,2211,1435,2218,827,142,6894,4353,7097,2626,460,4069,2461,4096,1639,203
Lukas Rosol,966,653,918,277,89,4245,2604,4024,1400,401,2897,1819,2684,965,216
Pablo Carreno Busta,0,0,0,0,0,274,167,299,112,14,886,498,802,309,27
Jarkko Nieminen,1116,714,1147,377,56,7737,4774,7469,2818,326,3223,1907,3048,1148,90
Lukasz Kubot,1467,972,1522,552,129,4366,2624,4164,1534,287,3385,2015,3224,1253,132
Jurgen Melzer,1554,985,1533,549,104,6556,4111,6617,2444,423,2176,1287,2198,825,98
Ivan Dodig,1971,1311,1945,666,255,7088,4470,7018,2593,790,2318,1381,2235,837,165
Philipp Kohlschreiber,1847,1301,1923,673,238,7628,4968,7569,2672,670,4400,2875,4447,1690,270
Dusan Lajovic,0,0,0,0,0,354,201,343,135,13,575,328,606,220,20
Marcel Granollers,663,420,596,184,35,5430,3378,5602,2051,327,4795,2879,4904,1988,172
Leonardo Mayer,666,416,638,205,45,1778,1104,1817,623,115,2982,1898,3004,1046,187
Jerzy Janowicz,1076,780,1152,378,172,2629,1738,2668,943,347,1218,797,1197,401,111
Steve Johnson,181,115,154,48,25,1992,1282,1797,529,204,221,129,183,55,9
Yen Hsun Lu,1631,1053,1599,527,87,4849,3049,5064,1915,250,779,450,756,270,35
Dominic Thiem,0,0,0,0,0,587,378,552,193,51,326,203,300,97,15
Mikhail Kukushkin,531,325,476,134,19,3179,1862,3134,1203,166,1739,1011,1731,685,58
Jack Sock,269,166,257,91,31,2514,1587,2361,799,241,367,248,373,130,28
Ivo Karlovic,896,648,976,289,218,5891,4176,5843,1669,1245,926,617,876,242,160
Malek Jaziri,562,349,500,146,49,785,473,776,269,41,398,222,362,140,16
Juan Monaco,926,607,961,347,33,4455,2692,4626,1835,117,6031,3721,6368,2765,135
Lucas Pouille,78,43,61,18,7,146,90,128,31,13,189,114,178,66,9
